SCALEA S.DOMENICA TALAO, PRAJA AJETA TORTORA, 5
PRAJA AJETA TORTORA, MARATEA, 5
SAPRI, AGROPOLI CASTELLABATE, 44
AGROPOLI CASTELLABATE, CAPACCIO ROCCADASPIDE, 7
VALLO DELLA LUC. CASTELNUOVO, SAPRI, 38
MARATEA, PRAJA AJETA TORTORA, 10
PRAJA AJETA TORTORA, SCALEA S.DOMENICA TALAO, 9
BATTIPAGLIA, CAPACCIO ROCCADASPIDE, 11
CAPACCIO ROCCADASPIDE, AGROPOLI CASTELLABATE, 11
ASCEA, VALLO DELLA LUC. CASTELNUOVO, 3
VALLO DELLA LUC. CASTELNUOVO, AGROPOLI CASTELLABATE, 14
AGROPOLI CASTELLABATE, PAESTUM, 8
PAESTUM, BATTIPAGLIA, 13
CAPACCIO ROCCADASPIDE, VALLO DELLA LUC. CASTELNUOVO, 25
REGGIO CALABRIA CENTRALE, MELITO DI PORTO SALVO, 26
MELITO DI PORTO SALVO, BRANCALEONE, 26
BRANCALEONE, BOVALINO, 23
BOVALINO, LOCRI, 8
LOCRI, SIDERNO, 5
SIDERNO, GIOIOSA JONICA, 6
GIOIOSA JONICA, ROCCELLA JONICA, 7
ROCCELLA JONICA, MONASTERACE STILO, 17
MONASTERACE STILO, SOVERATO, 26
SOVERATO, CATANZARO LIDO, 14
CATANZARO LIDO, CROPANI, 14
CROPANI, BOTRICELLO, 3
BOTRICELLO, CUTRO, 10
CUTRO, CROTONE, 11
CROTONE, CIRO&#039;, 32
CIRO&#039;, CARIATI, 20
CARIATI, ROSSANO, 20
ROSSANO, CORIGLIANO CALABRO, 4
CORIGLIANO CALABRO, SIBARI, 6
SIBARI, TREBISACCE, 3
TREBISACCE, POLICORO TURSI, 18
POLICORO TURSI, METAPONTO, -3
METAPONTO, TARANTO, 34
BOTRICELLO, CROTONE, 31
TARANTO, METAPONTO, 38
METAPONTO, POLICORO TURSI, 25
POLICORO TURSI, TREBISACCE, 29
TREBISACCE, SIBARI, 13
SIBARI, CORIGLIANO CALABRO, 12
CORIGLIANO CALABRO, ROSSANO, 9
ROSSANO, CARIATI, 22
CARIATI, CIRO&#039;, 16
CIRO&#039;, CROTONE, 30
CROTONE, BOTRICELLO, 39
BOTRICELLO, CROPANI, 6
CROPANI, CATANZARO LIDO, 15
CATANZARO LIDO, SOVERATO, 21
SOVERATO, MONASTERACE STILO, 17
MONASTERACE STILO, ROCCELLA JONICA, 15
ROCCELLA JONICA, GIOIOSA JONICA, 7
GIOIOSA JONICA, SIDERNO, 6
SIDERNO, LOCRI, 6
LOCRI, BOVALINO, 12
BOVALINO, BRANCALEONE, 16
BRANCALEONE, MELITO DI PORTO SALVO, 33
MELITO DI PORTO SALVO, REGGIO CALABRIA CENTRALE, 28
PERUGIA, TERONTOLA CORTONA, 26
AREZZO, FIRENZE S.M.N., 61
FIRENZE S.M.N., PRATO CENTRALE, -20
FIRENZE S.M.N., FIRENZE CAMPO MARTE, 5
FIRENZE CAMPO MARTE, AREZZO, -13
ORVIETO, ROMA TERMINI, 58
MILANO CENTRALE, MILANO ROGOREDO, 6
MILANO ROGOREDO, LODI, 14
LODI, PIACENZA, 23
ROMA TIBURTINA, LATINA, 28
ROMA TERMINI, ORTE, 37
ORTE, ORVIETO, 29
BOLOGNA C.LE, FERRARA, 36
FERRARA, ROVIGO, 19
ROVIGO, MONSELICE, 13
MONSELICE, PADOVA, 17
PADOVA, VENEZIA MESTRE, 16
VENEZIA MESTRE, S. DONA` DI PIAVE, 34
S. DONA` DI PIAVE, PORTOGRUARO CAORLE, 18
PORTOGRUARO CAORLE, LATISANA LIGNANO B., 11
